management,foundfam_owned,firmid,wave,degree_m,degree_m_sq,degree_nm,degree_nm_sq,export,emp_firm,lnemp,compet_cat,industry,countrycode,age_cat
3.0,0.0,127,2010,0.5,0.25,0.05,0.0025000000000000005,0.0,1550.0,7.346010209913293,weak,chemical,us,mid
3.3888888,0.0,129,2006,1.0,1.0,0.2,0.04000000000000001,0.0,2000.0,7.600902459542082,weak,electronic,us,young
3.6111112,1.0,130,2005,0.2,0.04000000000000001,0.0,0.0,0.0,250.0,5.521460917862246,strong,primary_metal,us,mid
2.4444444,0.0,131,2006,0.7,0.48999999999999994,0.3,0.09,0.0,4873.0,8.491465042843506,strong,textile,us,mid
2.6666667,0.0,132,2008,0.92,0.8464,0.24,0.0576,0.0,1150.0,7.047517221357296,weak,instrument,us,mid
2.9444444,0.0,133,2014,1.0,1.0,0.05,0.0025000000000000005,0.2,1600.0,7.3777589082278725,strong,fabricated_metal,us,unknown
3.5555556,0.0,135,2006,0.95,0.9025,0.5,0.25,0.0,380.0,5.940171252720432,weak,ind_machinery,us,young
3.7222223,0.0,139,2014,1.0,1.0,0.33,0.10890000000000001,0.5,11000.0,9.305650551780507,moder,instrument,us,unknown
4.0,0.0,142,2010,0.9,0.81,0.3,0.09,0.85,1200.0,7.090076835776092,moder,ind_machinery,us,old
3.2777777,0.0,145,2014,0.5,0.25,0.2,0.04000000000000001,0.1,1000.0,6.907755278982137,moder,ind_machinery,us,unknown
3.0,0.0,146,2010,0.95,0.9025,0.02,0.0004,0.0,2420.0,7.791522819150732,moder,ind_machinery,us,mid
2.8888888,0.0,149,2014,0.9,0.81,0.4,0.16000000000000003,0.2,2000.0,7.600902459542082,strong,instrument,us,unknown
3.2777777,1.0,151,2006,1.0,1.0,0.5,0.25,0.0,180.0,5.19295685089021,moder,electronic,us,young
4.2352943,0.0,152,2006,0.5,0.25,0.05,0.0025000000000000005,0.0,350.0,5.857933154483459,strong,rubber,us,old
3.1666667,0.0,153,2006,0.5,0.25,0.05,0.0025000000000000005,0.0,1950.0,7.575584651557793,weak,transport,us,old
3.7222223,0.0,155,2006,0.25,0.0625,0.05,0.0025000000000000005,0.0,4500.0,8.411832675758411,weak,food,us,old
2.6111112,0.0,156,2014,0.85,0.7224999999999999,0.6,0.36,0.0,305.0,5.720311776607412,strong,chemical,us,unknown
3.5555556,0.0,157,2014,1.0,1.0,0.14,0.019600000000000003,0.3,450.0,6.1092475827643655,moder,instrument,us,unknown
2.6666667,0.0,159,2006,0.33,0.10890000000000001,0.1,0.010000000000000002,0.0,500.0,6.214608098422191,strong,lumber,us,mid
3.8888888,0.0,161,2010,1.0,1.0,0.5,0.25,0.5,1000.0,6.907755278982137,weak,electronic,us,mid
3.1111112,0.0,163,2006,1.0,1.0,0.4,0.16000000000000003,0.0,6550.0,8.787220328629298,weak,electronic,us,mid
2.7777777,0.0,166,2014,0.8,0.6400000000000001,0.1,0.010000000000000002,0.5,3500.0,8.160518247477505,weak,petrol,us,unknown
3.8333333,0.0,167,2014,0.5,0.25,0.16,0.0256,0.3,4400.0,8.389359819906353,weak,ind_machinery,us,unknown
3.8333333,0.0,169,2014,0.8,0.6400000000000001,0.2,0.04000000000000001,0.2,1100.0,7.003065458786462,weak,instrument,us,unknown
3.0555556,0.0,172,2014,0.83,0.6889,0.41,0.16809999999999997,0.7,300.0,5.703782474656201,weak,ind_machinery,us,unknown
3.2777777,1.0,176,2006,1.0,1.0,0.4,0.16000000000000003,0.0,350.0,5.857933154483459,strong,instrument,us,young
3.8888888,0.0,177,2008,0.9,0.81,0.24,0.0576,0.0,950.0,6.856461984594587,strong,instrument,us,mid
3.0,0.0,178,2009,0.75,0.5625,0.0,0.0,0.99,91.0,4.51085950651685,moder,leather,nz,mid
3.0555556,0.0,180,2009,0.5,0.25,0.05,0.0025000000000000005,0.4,80.0,4.382026634673881,strong,primary_metal,nz,mid
3.3333333,0.0,181,2009,0.55,0.30250000000000005,0.1,0.010000000000000002,0.99,115.0,4.74493212836325,weak,chemical,nz,unknown
2.7222223,1.0,182,2009,0.9,0.81,0.6,0.36,0.95,500.0,6.214608098422191,strong,electronic,nz,mid
2.5555556,0.0,183,2009,0.75,0.5625,0.02,0.0004,0.98,850.0,6.745236349484363,strong,food,nz,young
3.1111112,1.0,184,2009,0.33,0.10890000000000001,0.01,0.0001,0.65,350.0,5.857933154483459,weak,food,nz,mid
2.7222223,0.0,185,2009,0.4,0.16000000000000003,0.05,0.0025000000000000005,0.9,120.0,4.787491742782046,moder,apparel,nz,mid
2.4444444,1.0,186,2009,0.7,0.48999999999999994,0.0,0.0,0.6,100.0,4.605170185988092,moder,food,nz,unknown
3.1111112,1.0,187,2009,0.5,0.25,0.1,0.010000000000000002,0.9,118.0,4.770684624465665,strong,ind_machinery,nz,mid
1.1111112,1.0,188,2009,0.5,0.25,0.0,0.0,0.4,60.0,4.0943445622221,moder,misc_manuf,nz,mid
3.1111112,1.0,189,2009,0.9,0.81,0.0,0.0,0.01,300.0,5.703782474656201,moder,food,nz,young
2.5555556,1.0,190,2009,0.4,0.16000000000000003,0.0,0.0,0.7,135.0,4.90527477843843,strong,fabricated_metal,nz,mid
2.9444444,0.0,192,2009,0.1,0.010000000000000002,0.0,0.0,0.4,190.0,5.247024072160486,weak,textile,nz,unknown
3.0555556,0.0,193,2009,0.7,0.48999999999999994,0.0,0.0,0.8,800.0,6.684611727667927,moder,electronic,nz,young
2.0,0.0,194,2009,0.0,0.0,0.0,0.0,0.7,100.0,4.605170185988092,strong,lumber,nz,mid
4.0555553,0.0,195,2009,0.75,0.5625,0.15,0.0225,0.45,800.0,6.684611727667927,strong,food,nz,mid
2.6666667,0.0,196,2009,0.3,0.09,0.0,0.0,0.6,100.0,4.605170185988092,moder,food,nz,mid
2.1666667,1.0,197,2009,0.2,0.04000000000000001,0.0,0.0,0.01,200.0,5.298317366548036,weak,fabricated_metal,nz,mid
3.1111112,0.0,198,2009,0.5,0.25,0.02,0.0004,0.5,70.0,4.248495242049359,weak,textile,nz,mid
2.0555556,0.0,199,2009,0.5,0.25,0.05,0.0025000000000000005,0.8,240.0,5.480638923341991,strong,paper,nz,mid
3.2777777,1.0,200,2009,0.1,0.010000000000000002,0.01,0.0001,0.02,700.0,6.551080335043404,moder,chemical,nz,mid
2.3888888,0.0,201,2009,0.2,0.04000000000000001,0.0,0.0,0.0,65.0,4.174387269895637,weak,paper,nz,unknown
3.5555556,0.0,202,2009,0.25,0.0625,0.02,0.0004,0.8,1200.0,7.090076835776092,strong,food,nz,old
2.7777777,0.0,203,2009,0.0,0.0,0.0,0.0,0.0,180.0,5.19295685089021,moder,printing,nz,young
3.1111112,0.0,204,2009,0.1,0.010000000000000002,0.1,0.010000000000000002,0.1,600.0,6.396929655216146,weak,paper,nz,mid
2.3333333,0.0,205,2009,0.5,0.25,0.0,0.0,0.0,110.0,4.700480365792417,weak,primary_metal,nz,unknown
2.8888888,0.0,206,2009,0.8,0.6400000000000001,0.05,0.0025000000000000005,0.3,63.0,4.143134726391533,strong,fabricated_metal,nz,mid
3.4444444,0.0,207,2009,0.85,0.7224999999999999,0.1,0.010000000000000002,0.98,1600.0,7.3777589082278725,strong,instrument,nz,mid
3.1666667,0.0,208,2009,0.1,0.010000000000000002,0.05,0.0025000000000000005,0.95,85.0,4.442651256490317,strong,electronic,nz,mid
2.0555556,0.0,209,2009,0.5,0.25,0.0,0.0,0.0,50.0,3.912023005428146,moder,furniture,nz,unknown
3.2777777,1.0,210,2009,0.95,0.9025,0.1,0.010000000000000002,0.96,95.0,4.553876891600541,weak,ind_machinery,nz,young
4.0555553,0.0,211,2009,1.0,1.0,0.0,0.0,0.5,300.0,5.703782474656201,strong,ind_machinery,nz,unknown
2.8333333,0.0,214,2009,0.9,0.81,0.15,0.0225,0.03,212.0,5.356586274672012,strong,chemical,nz,unknown
3.1666667,0.0,215,2009,0.5,0.25,0.4,0.16000000000000003,0.05,75.0,4.31748811353631,strong,chemical,nz,unknown
2.5,0.0,216,2009,0.18,0.0324,0.0,0.0,0.0,85.0,4.442651256490317,strong,fabricated_metal,nz,unknown
3.3333333,0.0,217,2009,0.9,0.81,0.15,0.0225,0.02,200.0,5.298317366548036,moder,apparel,nz,unknown
2.6111112,0.0,218,2009,0.6,0.36,0.05,0.0025000000000000005,0.3,170.0,5.135798437050262,weak,fabricated_metal,nz,mid
2.7222223,0.0,219,2009,0.4,0.16000000000000003,0.05,0.0025000000000000005,0.05,200.0,5.298317366548036,weak,fabricated_metal,nz,mid
2.9444444,0.0,220,2009,0.6,0.36,0.05,0.0025000000000000005,0.3,180.0,5.19295685089021,strong,food,nz,young
3.0,0.0,221,2009,0.7,0.48999999999999994,0.4,0.16000000000000003,0.8,450.0,6.1092475827643655,strong,ind_machinery,nz,old
3.2222223,0.0,222,2009,0.3,0.09,0.1,0.010000000000000002,0.5,95.0,4.553876891600541,strong,ind_machinery,nz,mid
2.0555556,1.0,223,2009,0.5,0.25,0.0,0.0,0.05,400.0,5.991464547107982,strong,petrol,nz,mid
3.3888888,0.0,224,2009,0.5,0.25,0.0,0.0,0.8,140.0,4.941642422609304,strong,lumber,nz,mid
3.1111112,0.0,225,2009,0.03,0.0009,0.01,0.0001,0.6,88.0,4.477336814478207,strong,fabricated_metal,nz,unknown
3.0,0.0,226,2009,0.1,0.010000000000000002,0.02,0.0004,0.9,290.0,5.66988092298052,strong,lumber,nz,young
2.8333333,1.0,227,2009,0.5,0.25,0.05,0.0025000000000000005,0.1,135.0,4.90527477843843,strong,food,nz,mid
3.1111112,1.0,228,2009,0.5,0.25,0.04,0.0016,1.0,57.0,4.04305126783455,strong,transport,nz,mid
3.1666667,0.0,229,2009,0.5,0.25,0.1,0.010000000000000002,0.05,300.0,5.703782474656201,weak,fabricated_metal,nz,unknown
2.4444444,0.0,230,2009,0.7,0.48999999999999994,0.05,0.0025000000000000005,0.6,340.0,5.8289456176102075,strong,food,nz,unknown
2.5555556,0.0,231,2009,0.5,0.25,0.05,0.0025000000000000005,0.5,210.0,5.3471075307174685,strong,rubber,nz,unknown
3.5555556,0.0,232,2009,0.01,0.0001,0.0,0.0,0.02,115.0,4.74493212836325,weak,rubber,nz,mid
2.8333333,0.0,233,2009,0.33,0.10890000000000001,0.03,0.0009,0.9990000000000001,91.0,4.51085950651685,moder,ind_machinery,nz,unknown
3.3333333,0.0,234,2009,0.45,0.2025,0.01,0.0001,0.8,320.0,5.768320995793772,strong,ind_machinery,nz,mid
2.8333333,1.0,235,2009,0.9,0.81,0.05,0.0025000000000000005,0.9,100.0,4.605170185988092,strong,rubber,nz,mid
1.9444444,1.0,236,2009,0.5,0.25,0.01,0.0001,0.0,60.0,4.0943445622221,strong,apparel,nz,mid
2.1111112,0.0,237,2009,0.03,0.0009,0.0,0.0,0.25,68.0,4.219507705176107,strong,furniture,nz,young
2.9444444,0.0,238,2009,0.5,0.25,0.0,0.0,0.8,70.0,4.248495242049359,strong,lumber,nz,unknown
2.0,1.0,239,2009,0.18,0.0324,0.0,0.0,0.95,110.0,4.700480365792417,strong,food,nz,unknown
2.0555556,1.0,240,2009,0.13,0.016900000000000002,0.01,0.0001,0.02,65.0,4.174387269895637,strong,food,nz,young
2.2777777,1.0,241,2009,0.25,0.0625,0.05,0.0025000000000000005,0.6,80.0,4.382026634673881,weak,misc_manuf,nz,unknown
3.2777777,0.0,242,2009,0.35,0.12249999999999998,0.0,0.0,0.15,420.0,6.040254711277414,weak,paper,nz,young
1.9444444,1.0,243,2009,0.5,0.25,0.1,0.010000000000000002,0.3,85.0,4.442651256490317,strong,textile,nz,young
2.7222223,0.0,244,2009,0.7,0.48999999999999994,0.05,0.0025000000000000005,0.0,54.0,3.9889840465642745,weak,food,nz,unknown
1.5,1.0,245,2009,0.5,0.25,0.0,0.0,0.15,150.0,5.0106352940962555,strong,chemical,nz,mid
2.7777777,1.0,246,2009,0.0,0.0,0.0,0.0,0.25,70.0,4.248495242049359,moder,lumber,nz,mid
2.1666667,1.0,248,2009,0.0,0.0,0.0,0.0,0.03,55.0,4.007333185232471,moder,fabricated_metal,nz,mid
2.3888888,1.0,249,2009,0.9,0.81,0.4,0.16000000000000003,0.75,160.0,5.075173815233827,weak,ind_machinery,nz,young
3.3888888,1.0,250,2009,0.5,0.25,0.0,0.0,0.2,55.0,4.007333185232471,moder,transport,nz,young
2.8333333,1.0,251,2009,0.0,0.0,0.02,0.0004,0.8,550.0,6.309918278226516,strong,food,nz,mid
2.7222223,0.0,252,2009,0.25,0.0625,0.05,0.0025000000000000005,0.35,500.0,6.214608098422191,strong,textile,nz,young
2.2777777,0.0,253,2009,0.3,0.09,0.0,0.0,0.25,61.0,4.110873864173311,moder,food,nz,unknown
2.3333333,0.0,254,2009,0.65,0.42250000000000004,0.05,0.0025000000000000005,0.5,64.0,4.1588830833596715,weak,food,nz,unknown
2.2777777,1.0,255,2009,0.35,0.12249999999999998,0.0,0.0,0.9,120.0,4.787491742782046,strong,misc_manuf,nz,unknown
2.8333333,1.0,256,2009,0.5,0.25,0.05,0.0025000000000000005,0.02,120.0,4.787491742782046,weak,food,nz,mid
2.2222223,1.0,257,2009,0.01,0.0001,0.01,0.0001,0.0,70.0,4.248495242049359,moder,glass,nz,mid
2.6111112,0.0,258,2009,0.6,0.36,0.05,0.0025000000000000005,0.0,60.0,4.0943445622221,strong,primary_metal,nz,young
3.4444444,1.0,259,2009,0.33,0.10890000000000001,0.1,0.010000000000000002,0.95,75.0,4.31748811353631,weak,rubber,nz,unknown
3.2777777,0.0,260,2009,0.65,0.42250000000000004,0.01,0.0001,0.95,220.0,5.393627546352362,weak,food,nz,young
2.7777777,0.0,261,2009,0.5,0.25,0.0,0.0,0.7,400.0,5.991464547107982,strong,fabricated_metal,nz,unknown
2.2777777,1.0,262,2009,0.0,0.0,0.0,0.0,0.95,500.0,6.214608098422191,strong,lumber,nz,unknown
2.8333333,1.0,264,2009,1.0,1.0,0.45,0.2025,0.9,100.0,4.605170185988092,weak,chemical,nz,young
2.5555556,0.0,265,2009,0.5,0.25,0.03,0.0009,0.7,100.0,4.605170185988092,moder,ind_machinery,nz,old
1.8333334,0.0,266,2009,0.2,0.04000000000000001,0.0,0.0,0.8,50.0,3.912023005428146,weak,ind_machinery,nz,mid
2.8888888,0.0,268,2009,0.9,0.81,0.25,0.0625,0.35,240.0,5.480638923341991,strong,fabricated_metal,nz,unknown
3.2222223,0.0,269,2009,0.5,0.25,0.05,0.0025000000000000005,0.65,85.0,4.442651256490317,weak,chemical,nz,old
1.7777778,1.0,270,2009,0.65,0.42250000000000004,0.0,0.0,0.0,100.0,4.605170185988092,weak,petrol,nz,young
2.9444444,0.0,271,2009,0.05,0.0025000000000000005,0.0,0.0,0.85,240.0,5.480638923341991,strong,ind_machinery,nz,old
3.7222223,0.0,272,2009,0.55,0.30250000000000005,0.3,0.09,0.6,118.0,4.770684624465665,weak,paper,nz,unknown
2.7777777,1.0,273,2009,0.25,0.0625,0.0,0.0,0.5,400.0,5.991464547107982,strong,food,nz,old
3.1111112,0.0,274,2009,0.45,0.2025,0.0,0.0,0.2,650.0,6.476972362889683,moder,textile,nz,unknown
3.8888888,1.0,275,2009,0.72,0.5184,0.05,0.0025000000000000005,0.01,400.0,5.991464547107982,moder,paper,nz,unknown
2.7222223,0.0,276,2009,0.2,0.04000000000000001,0.02,0.0004,0.6,450.0,6.1092475827643655,strong,food,nz,unknown
2.8333333,0.0,277,2009,0.4,0.16000000000000003,0.03,0.0009,0.05,107.0,4.672828834461906,weak,ind_machinery,nz,mid
4.3333335,1.0,278,2010,0.3,0.09,0.02,0.0004,0.05,300.0,5.703782474656201,moder,ind_machinery,us,mid
3.8333333,1.0,279,2009,1.0,1.0,0.55,0.30250000000000005,0.7,300.0,5.703782474656201,strong,chemical,nz,mid
2.4444444,0.0,280,2006,1.0,1.0,0.0,0.0,0.0,400.0,5.991464547107982,moder,ind_machinery,us,mid
3.2222223,0.0,281,2009,0.5,0.25,0.3,0.09,0.8,65.0,4.174387269895637,weak,electronic,nz,mid
2.3888888,1.0,282,2009,0.2,0.04000000000000001,0.05,0.0025000000000000005,0.0,150.0,5.0106352940962555,weak,food,nz,mid
2.1666667,0.0,283,2009,0.5,0.25,0.02,0.0004,0.5,71.0,4.2626798770413155,strong,lumber,nz,young
3.0,1.0,284,2009,0.0,0.0,0.02,0.0004,0.0,100.0,4.605170185988092,strong,food,nz,unknown
3.2222223,0.0,285,2009,1.0,1.0,0.0,0.0,0.02,63.0,4.143134726391533,strong,food,nz,unknown
3.2777777,0.0,286,2009,1.0,1.0,0.4,0.16000000000000003,0.5,450.0,6.1092475827643655,weak,fabricated_metal,nz,mid
1.6666666,1.0,288,2009,0.25,0.0625,0.0,0.0,1.0,100.0,4.605170185988092,strong,lumber,nz,unknown
2.5,0.0,289,2009,1.0,1.0,0.02,0.0004,0.9,58.0,4.060443010546419,strong,ind_machinery,nz,young
2.8333333,0.0,290,2009,0.2,0.04000000000000001,0.1,0.010000000000000002,0.05,58.0,4.060443010546419,moder,chemical,nz,unknown
2.3333333,1.0,291,2009,0.13,0.016900000000000002,0.0,0.0,0.95,160.0,5.075173815233827,moder,food,nz,unknown
3.1111112,1.0,292,2009,0.5,0.25,0.0,0.0,0.8,82.0,4.406719247264253,strong,transport,nz,young
2.8888888,0.0,293,2009,0.15,0.0225,0.05,0.0025000000000000005,0.95,220.0,5.393627546352362,strong,food,nz,young
2.1666667,0.0,294,2009,0.0,0.0,0.01,0.0001,0.05,200.0,5.298317366548036,weak,food,nz,old
1.4444444,1.0,295,2009,0.4,0.16000000000000003,0.05,0.0025000000000000005,0.0,69.0,4.23410650459726,weak,glass,nz,mid
3.7222223,0.0,297,2009,1.0,1.0,0.7,0.48999999999999994,0.8,570.0,6.345636360828596,strong,paper,nz,old
2.4444444,0.0,298,2009,0.9,0.81,0.05,0.0025000000000000005,0.5,65.0,4.174387269895637,weak,paper,nz,mid
3.1666667,0.0,299,2009,0.95,0.9025,0.3,0.09,0.75,125.0,4.8283137373023015,moder,food,nz,mid
2.9444444,0.0,300,2009,0.25,0.0625,0.0,0.0,0.25,700.0,6.551080335043404,moder,paper,nz,unknown
3.4444444,0.0,301,2009,0.3,0.09,0.1,0.010000000000000002,0.5,120.0,4.787491742782046,strong,fabricated_metal,nz,young
1.8888888,1.0,302,2009,0.5,0.25,0.0,0.0,0.05,160.0,5.075173815233827,weak,food,nz,young
4.0555553,0.0,304,2014,1.0,1.0,0.4,0.16000000000000003,0.0,6000.0,8.699514748210191,weak,furniture,us,unknown
3.0555556,0.0,305,2006,0.7,0.48999999999999994,0.1,0.010000000000000002,0.0,1000.0,6.907755278982137,weak,transport,us,young
3.7777777,0.0,306,2014,0.95,0.9025,0.42,0.17639999999999997,0.6,10000.0,9.210340371976184,strong,instrument,us,unknown
2.6666667,1.0,308,2014,0.5,0.25,0.2,0.04000000000000001,0.0,450.0,6.1092475827643655,weak,glass,us,unknown
3.8333333,0.0,309,2006,0.05,0.0025000000000000005,0.12,0.0144,0.0,1900.0,7.549609165154532,strong,ind_machinery,us,young
3.2222223,0.0,313,2014,0.4,0.16000000000000003,0.0,0.0,0.05,3000.0,8.006367567650246,strong,fabricated_metal,us,unknown
